"","Open","High","Low","Close","Volume","Adjusted","Stock","Sector","Date"
"30776",26.91,27.379999,26.610001,26.84,65568000,26.84,"BAC","Financial","2019-03-25"
"30786",27.15,27.35,26.879999,27.209999,59878500,27.209999,"BAC","Financial","2019-03-26"
"30796",27.09,27.370001,26.950001,27.030001,57621700,27.030001,"BAC","Financial","2019-03-27"
"30806",27.200001,27.41,27.02,27.33,45872300,27.33,"BAC","Financial","2019-03-28"
"30816",27.549999,27.68,27.299999,27.59,83446300,27.59,"BAC","Financial","2019-03-29"
"30826",27.9,28.74,27.85,28.540001,91751100,28.540001,"BAC","Financial","2019-04-01"
"30836",28.469999,28.870001,28.35,28.870001,66694000,28.870001,"BAC","Financial","2019-04-02"
"30846",29.07,29.24,28.700001,28.84,63110600,28.84,"BAC","Financial","2019-04-03"
"30856",28.85,29.309999,28.84,29.15,53712100,29.15,"BAC","Financial","2019-04-04"
"30866",29.32,29.5,28.98,29.08,46383400,29.08,"BAC","Financial","2019-04-05"
"30876",28.889999,29.200001,28.870001,29.17,35272800,29.17,"BAC","Financial","2019-04-08"
"30886",29,29.07,28.74,28.889999,40535300,28.889999,"BAC","Financial","2019-04-09"
"30896",28.9,29.15,28.75,29.07,42669700,29.07,"BAC","Financial","2019-04-10"
"30906",29.25,29.49,28.99,29.07,50440100,29.07,"BAC","Financial","2019-04-11"
"30916",29.559999,30.219999,29.559999,30.17,100166000,30.17,"BAC","Financial","2019-04-12"
"30617",42.349998,42.869999,42.349998,42.5,12336100,42.5,"MS","Financial","2019-03-01"
"30627",42.549999,43.099998,41.799999,42,12115100,42,"MS","Financial","2019-03-04"
"30637",41.98,42.040001,41.189999,41.900002,10449100,41.900002,"MS","Financial","2019-03-05"
"30647",41.830002,42.09,41.59,41.619999,7062700,41.619999,"MS","Financial","2019-03-06"
"30657",41.32,41.349998,40.630001,41.169998,12502100,41.169998,"MS","Financial","2019-03-07"
"30667",40.580002,41.5,40.400002,41.360001,11748400,41.360001,"MS","Financial","2019-03-08"
"30677",41.700001,42.209999,41.66,41.849998,7191600,41.849998,"MS","Financial","2019-03-11"
"30687",41.950001,42.189999,41.82,42.029999,7204400,42.029999,"MS","Financial","2019-03-12"
"30697",42.400002,42.650002,42.200001,42.41,9269000,42.41,"MS","Financial","2019-03-13"
"30707",42.299999,42.919998,42.299999,42.689999,8351200,42.689999,"MS","Financial","2019-03-14"
"30717",42.68,43.470001,42.540001,43.330002,18992600,43.330002,"MS","Financial","2019-03-15"
"30727",43.470001,44.209999,43.470001,44.029999,10305900,44.029999,"MS","Financial","2019-03-18"
"30737",44.619999,44.889999,43.880001,43.950001,12548500,43.950001,"MS","Financial","2019-03-19"
"30747",43.740002,43.799999,42.93,43.029999,15078500,43.029999,"MS","Financial","2019-03-20"
"30757",42.59,43.630001,42.200001,43.130001,14576200,43.130001,"MS","Financial","2019-03-21"
"30767",42.560001,42.720001,41.279999,41.720001,25416800,41.720001,"MS","Financial","2019-03-22"
"30777",41.709999,41.93,40.91,41.25,14504100,41.25,"MS","Financial","2019-03-25"
"30787",41.709999,42.23,41.34,41.880001,9615400,41.880001,"MS","Financial","2019-03-26"
"30797",41.82,42.049999,41.290001,41.369999,11251600,41.369999,"MS","Financial","2019-03-27"
"30807",41.490002,41.970001,41.380001,41.93,8397000,41.93,"MS","Financial","2019-03-28"
"30817",42.48,42.630001,41.970001,42.200001,11811400,42.200001,"MS","Financial","2019-03-29"
